allowed_values_levels,trait,categorical_trait_description,categorical_trait_synonyms,categorical_trait_identifier
lignotuber,storage_organ,"Swollen woody structures are located at the transition between the stem base and root crown of woody shrubs, mallees and small trees, and are formed from stem tissues. Buds are located over the entire structure. No colonisation ability.",NA,storage_organ_lignotuber
pseudobulb,storage_organ,An above ground storage organ present in many terrestrial and epiphytic orchids created throough the thickening of the stem between leaf nodes.,NA,storage_organ_pseudobulb
rhizome,storage_organ,"A type of continually growing or creeping underground stem, but it is not specified if the rhizome is woody or non-woody.",NA,storage_organ_rhizome
rhizome_woody,storage_organ,A type of continually growing or creeping woody underground stem.,NA,storage_organ_rhizome_woody
rhizome_fleshy,storage_organ,"A type of continually growing or creeping fleshy, non-woody underground stem.",NA,storage_organ_rhizome_fleshy
rhizome_fibrous,storage_organ,"A type of continually growing or creeping fibrous, non-woody underground stem.",NA,storage_organ_rhizome_fibrous
root_tuber,storage_organ,"A swollen root the stores nutrients, carbohydrates and water.",taproot tuber,storage_organ_root_tuber
stem_tuber,storage_organ,"A swollen underground stem that stores nutrients, carbohydrates and water.",NA,storage_organ_stem_tuber
storage_organ,storage_organ,"Plant has a storage organ, but the type is unknown.",NA,storage_organ_storage_organ
tuber,storage_organ,"A swollen underground organ that stores nutrients, carbohydrates and water, where it is not specified if the tuber develops from root or stem tissue.",NA,storage_organ_tuber
no_storage_organ,storage_organ,No storage organ present,NA,storage_organ_no_storage_organ
resprouts_non_fire_disturbance,resprouting_capacity_non_fire_disturbance,"Plants that are known to be fire-killed, but have the ability to resprout following a disturbance other than fire that causes 100% leaf loss.",NA,resprouting_capacity_non_fire_disturbance_resprouts_non_fire_disturbance
resprouts_after_cyclone,resprouting_capacity_non_fire_disturbance,Plants are able to resprout following 100% leaf loss in a cyclone.,NA,resprouting_capacity_non_fire_disturbance_resprouts_after_cyclone
resprouts_after_drought,resprouting_capacity_non_fire_disturbance,Plants are able to resprout following 100% leaf loss during a drought.,NA,resprouting_capacity_non_fire_disturbance_resprouts_after_drought
aboveground_clonal,clonal_spread_mechanism,"Vegetative buds or plant fragments that can disperse and produce new plants (including axillary buds, bulbils and turions).",NA,clonal_spread_mechanism_aboveground_clonal
adventitious_roots,clonal_spread_mechanism,Adventitious roots can form at nodes on the main roots or aboveground from nodes on stems.,NA,clonal_spread_mechanism_adventitious_roots
bulb,clonal_spread_mechanism,"Below ground storage organ derived from stem (and sometimes leaf) tissue, that divides into new individuals.",NA,clonal_spread_mechanism_bulb
belowground_clonal,clonal_spread_mechanism,Plants use an unspecified underground organ for clonal spread.,NA,clonal_spread_mechanism_belowground_clonal
corm,clonal_spread_mechanism,Below ground organ derived from stem tissue that can function either for vegetative spread or to regenerate following a disturbance.,NA,clonal_spread_mechanism_corm
rhizome,clonal_spread_mechanism,Plant has an underground stem that has stem buds and forms adventitious roots at nodes; this stem may be woody or non-woody. Rhizomes are both a mechanism for vegetative spread and a strategy to survive fire.,NA,clonal_spread_mechanism_rhizome
root_buds,clonal_spread_mechanism,Root buds that produce vertical suckers.,NA,clonal_spread_mechanism_root_buds
root_tuber,clonal_spread_mechanism,A swollen root that functions as a storage organ and has buds that allow clonal growth.,NA,clonal_spread_mechanism_root_tuber
stem_tuber,clonal_spread_mechanism,A swollen underground stem that functions as a storage organ and has buds that allow clonal growth.,NA,clonal_spread_mechanism_stem_tuber
stolon,clonal_spread_mechanism,Plants having horizontal branches (stems) from the base of the plant that produce new plants from buds at its tip or nodes.,NA,clonal_spread_mechanism_stolon
viviparous,clonal_spread_mechanism,Plant produces clonal offspring that grow while still attached to the parent plant.,NA,clonal_spread_mechanism_viviparous
non_clonal,clonal_spread_mechanism,Plant does not display clonal growth.,NA,clonal_spread_mechanism_non_clonal
type_i,root_system_classification,The primary root is fibrous or fleshy and is relatively long; mesophytic.,NA,root_system_classification_type_i
type_ii,root_system_classification,The primary root is relatively short and is fibrous. Roots are well branched in a dry habitat but branch little in one that is wet.,NA,root_system_classification_type_ii
type_iii,root_system_classification,The primary root is usually long and fibrous. The first order lateral roots are well branched and are usually short; they are rather evenly distributed along the primary root; xerophytic.,NA,root_system_classification_type_iii
type_iv,root_system_classification,"The primary root is usually long and slender like that of Type II. The first order lateral roots are well branched. Those closest to the surface of the ground, or not far below, are relatively long; xerophytic and mesophytic.",NA,root_system_classification_type_iv
type_v,root_system_classification,"The primary root is divided-forked or branched-and fibrous, and with few first order lateral roots, or, in age, apparently with none; xerophytic.",NA,root_system_classification_type_v
type_vi,root_system_classification,The primary root is usually as in Type V. The first order lateral roots are mostly on the upper portion of the primary root and are thus relatively superficial; xerophytic or in well aerated sandy soil where the rainfall is not light.,NA,root_system_classification_type_vi
type_vii,root_system_classification,"Adventitious roots that are in one group and arise on a short horizontal, or vertical, axis of the shoot. They are fibrous or fleshly; mesophytic and hydrophytic.",NA,root_system_classification_type_vii
type_viii,root_system_classification,"Adventitious roots that are in one group and are fibrous and fleshy, or fibrous and thick. The fibrous adventitious roots are absorbing-anchoring roots and are usually with laterals to the second order; meophytic.",NA,root_system_classification_type_viii
type_ix,root_system_classification,"Adventitious roots that arise on the aerial stem and branches of some herbaceous taxa, shrubs, and trees; on creepers, vines, and runners; and on subterranean rhizomes and stolons.",NA,root_system_classification_type_ix
arbuscular_mycorrhizal,root_structure,"Symbiosis in which the mycorrhizal fungi does penetrate the cortex cells of the plant roots and its hyphae form arbuscules and vesicles inside the plant root; endomycorrhizal, AM, VAM.",NA,root_structure_arbuscular_mycorrhizal
carnivorous,root_structure,Plant has non-mycorrhizal carnivorous root.,NA,root_structure_carnivorous
cluster_roots,root_structure,Non-proteoid taxa with cluster roots.,NA,root_structure_cluster_roots
coiling_vam,root_structure,Associations that spread predominantly by intracellular hyphal coils within roots.,NA,root_structure_coiling_vam
dauciform_root,root_structure,A type of cluster root found in the family Cyperaceae.,NA,root_structure_dauciform_root
ectomycorrhizal,root_structure,Symbiosis in which the mycorrhizal fungi does not penetrate the cortex cells of the plant roots.,NA,root_structure_ectomycorrhizal
ericoid_mycorrhizal,root_structure,A form of arbuscular mycorrhizal relationship only found on plants in the order Ericales. The fungi's hyphae penetrate the plant root but do not form arbuscules.,NA,root_structure_ericoid_mycorrhizal
fine_roots,root_structure,Particularly fine roots for nutrient uptake.,NA,root_structure_fine_roots
haustorium,root_structure,"A highly modified stem or root of a parasitic plant, such as mistletoe , or a specialized branch or tube originating from a hairlike filament (hypha) of a fungus. The haustorium penetrates the tissues of a host and absorbs nutrients and water.",NA,root_structure_haustorium
hemiparasitic_root,root_structure,Plant with a partially parasitic root.,NA,root_structure_hemiparasitic_root
long_root_hairs,root_structure,Plant with specialised long root hairs.,NA,root_structure_long_root_hairs
mycorrhizal,root_structure,Plant mycorrhizal but type not specified.,NA,root_structure_mycorrhizal
non_mycorrhizal,root_structure,Plants lacking a mycorrhizal symbiont.,NA,root_structure_non_mycorrhizal
orchid_mycorrhizal,root_structure,"A mycorrhizal relationship specific to orchid taxa, and for most orchids, essential for seedlings to establish.",NA,root_structure_orchid_mycorrhizal
parasitic_root,root_structure,Plant with a parasitic root.,NA,root_structure_parasitic_root
proteoid_root,root_structure,"Also known as cluster roots, are plant roots that form clusters of closely spaced short lateral rootlets and aid in nutrient upake in nutrient-poor soils; common in members of the family Proteaceae but present in other families as well.",NA,root_structure_proteoid_root
root_hairs,root_structure,Plant with specialised root hairs.,NA,root_structure_root_hairs
sand-binding,root_structure,"Persistent sheaths of sand that form around the roots of taxa in the families Restionaceae, Cyperaceae, Haemodoraceae, and Lomandraceae in western Australia. Assumed to function in nutrient uptake.",NA,root_structure_sand-binding
saprophyte,root_structure,Plant that acquires nutrients from decaying biomass.,NA,root_structure_saprophyte
subepidermal_mycorrhizal,root_structure,Mycorrhizae where hyphae grow in a cavity under epidermal cells. Only in the genus Thysanotus (family Laxmaniaceae).,NA,root_structure_subepidermal_mycorrhizal
unknown,root_structure,Root structures unknown.,NA,root_structure_unknown
glycophyte,plant_tolerance_salt,Plants that cannot survive even one tenth the salt concentration found in seawater.,NA,plant_tolerance_salt_glycophyte
halophyte,plant_tolerance_salt,Plants that complete their life cycle in a salty environment; many survive in seawater or even higher concentrations of salt.,NA,plant_tolerance_salt_halophyte
halophyte_moderate,plant_tolerance_salt,Plant that is moderately tolerant of soil salinity/sodicity.,NA,plant_tolerance_salt_halophyte_moderate
hydrohalophyte,plant_tolerance_salt,Tidal swamp or 'mangrove' and coastal lagoon elements and temperate-zone salt-marsh taxa are classed together.,NA,plant_tolerance_salt_hydrohalophyte
salt_spray_tolerant,plant_tolerance_salt,Plant that is tolerant of salt spray (typically inhabiting near-coastal environments).,NA,plant_tolerance_salt_salt_spray_tolerant
salinity_tolerance_undefined,plant_tolerance_salt,Plant's ability to tolerate salt is unknown.,NA,plant_tolerance_salt_salinity_tolerance_undefined
xerohalophyte,plant_tolerance_salt,Plants adapted to inland salt desert and saline habitats.,NA,plant_tolerance_salt_xerohalophyte
comma-shaped,seed_shape,"A seed displaying a single arc of curvature, such that it bilaterally symmetrical.","comma-shaped, falcate, sickle-shaped scimitar-shaped",seed_shape_comma-shaped
conical,seed_shape,"Cone-shaped, with a broad flat base and narrow apex; turbinate refers to the inverse shape.","obconical, cone-shaped, turbinate, top-shaped",seed_shape_conical
cuneate,seed_shape,A 3-dimensional shape that is wedge-shaped or boat-shaped.,NA,seed_shape_cuneate
cylindrical,seed_shape,"A cylinder, a shape with a flat top and bottom that are circular or elliptical in outline and are linked by a curved surface.",terete,seed_shape_cylindrical
discoid,seed_shape,"A subset of cylinder, a shape with a flat, circular or elliptical top and bottom, linked by a curved surface, where the length of the curved surface is much shorter than the cross-section of the flat surfaces.",flat,seed_shape_discoid
ellipsoid,seed_shape,A 3-dimensional shape that is elliptic in long section and circular in cross section; length:width ratio between 2:1 and 3:2.,"obloid, oblong",seed_shape_ellipsoid
ellipsoid_flattened,seed_shape,A 3-dimensional shape that is elliptic in long section and and laterally compressed/flattened such that it is non-circular in cross section; length:width ratio between 2:1 and 3:2.,NA,seed_shape_ellipsoid_flattened
fusiform,seed_shape,"Spindle-shaped; A 3-dimension shape that is narrowly ellipsoid, circular in cross-section and tapering sharply toward both ends.",spindle-shaped,seed_shape_fusiform
globoid,seed_shape,A 3-dimensional shape that is circular in both long section and cross section.,"globose, globular, spherical",seed_shape_globoid
globoid_flattened,seed_shape,A 3-dimensional shape that is circular in both long section and somewhat flattened such that it is non-circular in cross section.,NA,seed_shape_globoid_flattened
hemispheric,seed_shape,"Half a sphere or globe, with a flat base, domed top, and circular in cross-section.",convex,seed_shape_hemispheric
hemispheric_flattened,seed_shape,"A 3-dimensional shape that is a laterally compressed/flattened half-sphere or globe; shape has a flat base, a domed top, and is elliptical in cross-section.",NA,seed_shape_hemispheric_flattened
lenticular,seed_shape,Shaped like a biconvex lens and circular in cross section; shaped like a lentil.,NA,seed_shape_lenticular
orbicular,seed_shape,A poorly defined term that remains in AusTraits only as a placeholder; it appears to be used as both globoid (spherical) and lenticular by different authors.,NA,seed_shape_orbicular
ovoid,seed_shape,A 3-dimensional shape that is egg-shaped in long section and circular in cross section. Term as used in AusTraits includes variants on egg-shaped including pyriform (pear-shaped) and obovoid (inversely egg-shaped),"pyriform, obovoid",seed_shape_ovoid
ovoid_elongated,seed_shape,"A 3-dimensional shape that is egg-shaped in long section and circular in cross section, where the length dimension is much longer than the width/height dimensions. Term as used in AusTraits includes specific shapes club-shaped (clavate/obclavate) and tear-shaped (lachrimiform).","lachrimiform, tear-shaped, lachrymiform, clavate; obclavate, club-shaped",seed_shape_ovoid_elongated
ovoid_flattened,seed_shape,A 3-dimensional shape that is egg-shaped in long section and laterally compressed/flattened such that is non-circular in cross section.,NA,seed_shape_ovoid_flattened
polyhedral,seed_shape,"A 3-dimensional shape with distinct, fairly flat faces and edges; includes prisms and tetrahedral shaped seeds.","rhomboid, prismatic, pyramidal, rectangular, square",seed_shape_polyhedral
polyhedral_elongated,seed_shape,"A 3-dimensional shape with distinct, fairly flat faces and edges, where the length dimension is much longer than the width/height dimensions; includes elongate prisms and elongate tetrahedral shaped seeds.",NA,seed_shape_polyhedral_elongated
polyhedral_inflated,seed_shape,A 3-dimensional shape with distinct faces and edges but the faces tend to bulge outwards.,NA,seed_shape_polyhedral_inflated
reniform,seed_shape,Having a cross-section that is roughly circular with a notch; strictly a kidney-shape but the definition applied here includes heart-shaped seeds and other seeds with a distinct notch.,"cordiform, kidney-shaped, heart-shaped",seed_shape_reniform
winged,seed_shape,A seed with wings.,samara,seed_shape_winged
sectoroid,seed_shape,Shaped like an orange segment or wedge of a sphere.,wedge-shaped,seed_shape_sectoroid
sinusoidal,seed_shape,"A seed with two arcs of curvature or a single arc, such that it lacks an axis of symmetry.",sigmoidal,seed_shape_sinusoidal
glabrous,seed_surface_hairs,Seed surface lacks trichomes or bristles.,NA,seed_surface_hairs_glabrous
hairs,seed_surface_hairs,Seed surface with trichomes or bristles.,NA,seed_surface_hairs_hairs
hairs_branched,seed_surface_hairs,"Seed surface with branched trichomes or bristles.(Synonyms, stellate, plumose)",NA,seed_surface_hairs_hairs_branched
hairs_simple,seed_surface_hairs,Seed surface with simple trichomes or bristles.,"tomentose, velutinous, velvety, sericeous",seed_surface_hairs_hairs_simple
dull,seed_surface_reflectivity,"Seed surface appears dull, indicating it has a low reflectivity.",NA,seed_surface_reflectivity_dull
shiny,seed_surface_reflectivity,"Seed surface appears shiny or glossy, indicating it has a high reflectivity.","glossy, lustrous, polished",seed_surface_reflectivity_shiny
bumpy,seed_surface_texture,"Seed surface covered with minute, rounded protuberances.","colliculate, verrucate, papillate, tuberculate, undulate",seed_surface_texture_bumpy
grooved,seed_surface_texture,Seed surface covered with grooves.,NA,seed_surface_texture_grooved
netted,seed_surface_texture,"Seed surface covered with raised, reticulate, interconnected ridges.","reticulate, honey-combed",seed_surface_texture_netted
papery,seed_surface_texture,Seed surface with a thin and papery texture.,chartaceous,seed_surface_texture_papery
pitted,seed_surface_texture,Seed surface pitted.,"foveolate, foveate, dimpled, punctate, lacunose",seed_surface_texture_pitted
ribbed,seed_surface_texture,Seed surface with longitudinal raised ribs or ridges.,"costate, carinate, lineate, fluted, striate, strigose, lineolate, scalariform, ridged",seed_surface_texture_ribbed
rough,seed_surface_texture,"Seed surface rough with no organisation of markings, resembling sandpaper.",scabrous,seed_surface_texture_rough
scaly,seed_surface_texture,Seed surface rough with loose scales differing in direction or not parallel in direction.,"scurfy, squarrose",seed_surface_texture_scaly
smooth,seed_surface_texture,"Seed surface smooth, lacking texture.",glabrous,seed_surface_texture_smooth
spiny,seed_surface_texture,Seed surface with spines.,echinulate,seed_surface_texture_spiny
wrinkled,seed_surface_texture,"Seed surface with a wrinkled, rugose texture.","rugose, rugulose, bullate",seed_surface_texture_wrinkled
seedbank,seedbank_location,"A seedbank exists, but its locations is not specified.",NA,seedbank_location_seedbank
canopy_seedbank,seedbank_location,"Seeds stored in the canopy, usually still within a woody cone.",NA,seedbank_location_canopy_seedbank
soil_seedbank,seedbank_location,Seeds stored in the soil.,NA,seedbank_location_soil_seedbank
canopy_seedbank_absent,seedbank_location,Seed explicitly not stored in the canopy.,NA,seedbank_location_canopy_seedbank_absent
soil_seedbank_absent,seedbank_location,Seed explicitly not stored in the soil.,NA,seedbank_location_soil_seedbank_absent
none,seedbank_location,Seeds are not stored.,NA,seedbank_location_none
transient,seedbank_longevity_class,"Seed that survives in the seedbank until its first annual germination season, but not until its second annual germination season. Some transient seeds will germinate within weeks to months, while others may remain in the seedbank for slightly over a year, depending on how the annual recruitment season aligns with seed maturation. Transient seeds are non-dormant, remaining in the seedbank until environmental conditions are appropriate for germination.",NA,seedbank_longevity_class_transient
persistent,seedbank_longevity_class,Seed that survives in the seedbank until at least its second germination season.,NA,seedbank_longevity_class_persistent
short_persistent,seedbank_longevity_class,"Seed that persists in the seedbank for approximately 1 to 5 years, although the time interval varies by study.",NA,seedbank_longevity_class_short_persistent
long_persistent,seedbank_longevity_class,"Seed that persists in the seedbank for more than 5 years, although the time interval varies by study.",NA,seedbank_longevity_class_long_persistent
widely_dispersed,seedbank_longevity_class,"Seed longevity not important, as seeds are widely dispersed and always available for germination.",NA,seedbank_longevity_class_widely_dispersed
not_serotinous,serotiny,Plant does not display serotiny.,NA,serotiny_not_serotinous
serotinous,serotiny,"Plant serotinous, level not specified.",NA,serotiny_serotinous
serotiny_low,serotiny,"Plant displays a weak level of serotiny, indicating it releases most of its seeds gradually, with only a small proportion of the seeds retained as a canopy seedbank until an environmental cue triggers the release of the entire seedbank.",NA,serotiny_serotiny_low
serotiny_moderate,serotiny,"Plant displays a moderate level of serotiny, indicating it releases some of its seeds gradually, with the remainder retained as a canopy seedbank until an environmental cue triggers the release of the entire seedbank.",NA,serotiny_serotiny_moderate
serotiny_high,serotiny,"Plant displays a strong level of serotiny, indicating all seeds are retained as a canopy seedbank until an environmental cue triggers their release.",NA,serotiny_serotiny_high
scale-like,seedling_first_node_leaf_type,"The leaf at the first stem node above the epicotyl is scale-like, also referred to as a cataphyll.",NA,seedling_first_node_leaf_type_scale-like
leaf-like,seedling_first_node_leaf_type,The leaf at the first stem node above the epicotyl is leaf-like (broad).,NA,seedling_first_node_leaf_type_leaf-like
single,seedling_first_node_leaf_count,There is a single leaf at the first stem node above the epicotyl.,NA,seedling_first_node_leaf_count_single
paired,seedling_first_node_leaf_count,There is a pair of leaves at the first stem node above the epicotyl.,NA,seedling_first_node_leaf_count_paired
not_applicable,plant_tolerance_snow,Taxa is virtually never confronted with snow in nature and the response is unknown.,NA,plant_tolerance_snow_not_applicable
intolerant,plant_tolerance_snow,Taxa is frost tender and known to be killed by any snow.,NA,plant_tolerance_snow_intolerant
days,plant_tolerance_snow,Taxa can tolerate being covered by snow for days (typically less than 1 week).,NA,plant_tolerance_snow_days
weeks,plant_tolerance_snow,Taxa can tolerate being covered by snow for weeks (typically less than 1 month).,NA,plant_tolerance_snow_weeks
months,plant_tolerance_snow,Taxa can tolerate being covered by snow for months.,NA,plant_tolerance_snow_months
absent,plant_physical_defence_structures,Plant that lacks a physical defence structure.,NA,plant_physical_defence_structures_absent
sharp_pointed_defence,plant_physical_defence_structures,"Plant that has either spines, thorns, or prickles but the type of physical defence structure is not specified.",NA,plant_physical_defence_structures_sharp_pointed_defence
prickle,plant_physical_defence_structures,"A sharp-tipped outgrowth from the epidermis, bark or other plant organ that is explicitly not a spine (modified leaf) or thorn (modified stem).",NA,plant_physical_defence_structures_prickle
pungent_leaf_apex,plant_physical_defence_structures,A sharp-tipped leaf.,NA,plant_physical_defence_structures_pungent_leaf_apex
spine,plant_physical_defence_structures,"A sharp-pointed structure, which is a modified leaf or leaf part, including petioles, midribs, secondary veins, leaflets, or stipules.",NA,plant_physical_defence_structures_spine
stinging_or_irritant_hairs,plant_physical_defence_structures,"Trichomes that sting or irritate, by injecting a toxin.",NA,plant_physical_defence_structures_stinging_or_irritant_hairs
thorn,plant_physical_defence_structures,"A sharp-pointed, stiff, woody modified stem.",NA,plant_physical_defence_structures_thorn
no_spines,plant_spinescence,No spines. (level 0),NA,plant_spinescence_no_spines
low_density_soft_spines,plant_spinescence,Low or very local density of soft spines <5mm long; plant may sting or prickle when hit carelessly but not impart strong pain. (level 1),NA,plant_spinescence_low_density_soft_spines
high_density_soft_spines,plant_spinescence,"High density of soft spines, intermediate density of spines of intermediate hardness, or low density of hard, sharp spines >5mm long; plant causes actual pain when hit carelessly. (level 2)",NA,plant_spinescence_high_density_soft_spines
high_density_hard_spines_to_5mm,plant_spinescence,"Intermediate or high density of hard, sharp spines >5mm long; plant causes strong pain when hit carelessly. (level 3)",NA,plant_spinescence_high_density_hard_spines_to_5mm
high_density_hard_spines_to_20mm,plant_spinescence,"Intermediate or high density of hard, sharp spines >20mm long; plant may cause significant wounds when hit carelessly. (level 4)",NA,plant_spinescence_high_density_hard_spines_to_20mm
high_density_hard_spines_to_100mm,plant_spinescence,"Intermediate or high density of hard, sharp spines >100mm long; plant is dangerous to careless large mammals, including humans. (level 5)",NA,plant_spinescence_high_density_hard_spines_to_100mm
amphistomatic,leaf_stomatal_distribution,Leaves with stomata on both leaf surfaces.,NA,leaf_stomatal_distribution_amphistomatic
amphistomatic_uneven,leaf_stomatal_distribution,Leaves with stomata on both leaf surfaces but more stomata on the lower leaf surface.,NA,leaf_stomatal_distribution_amphistomatic_uneven
epistomatic,leaf_stomatal_distribution,Leaves that only have stomata on the upper (adaxial) leaf surface.,NA,leaf_stomatal_distribution_epistomatic
hypostomatic,leaf_stomatal_distribution,Leaves that only have stomata on the lower (abaxial) leaf surface.,NA,leaf_stomatal_distribution_hypostomatic
stomata_covered_with_dense_hairs,leaf_stomatal_hairs,Stomata densely covered by hairs.,NA,leaf_stomatal_hairs_stomata_covered_with_dense_hairs
stomata_not_covered_by_hairs,leaf_stomatal_hairs,Stomata not hair-covered.,NA,leaf_stomatal_hairs_stomata_not_covered_by_hairs
tap_root_absent,root_system_type,Tap root not present.,NA,root_system_type_tap_root_absent
tap_root_present,root_system_type,Tap root present.,NA,root_system_type_tap_root_present
tap_root_sometimes_present,root_system_type,Tap root sometimes present.,NA,root_system_type_tap_root_sometimes_present
not_vegetative,vegetative_reproduction_ability,Plant taxa that regenerate and spread only by seed.,NA,vegetative_reproduction_ability_not_vegetative
vegetative,vegetative_reproduction_ability,"Plant taxa that can regenerate and spread through the growth and division of vegetative material, not just from seed; examples include runners, rhizomes, and bulbs.",NA,vegetative_reproduction_ability_vegetative
vegetative_obligate,vegetative_reproduction_ability,"Plant taxa that never (or very rarely) regenerate from seed, instead regenerating and spreading entirely through the growth and division of vegetative material.",NA,vegetative_reproduction_ability_vegetative_obligate
not_applicable,plant_tolerance_water_logged_soils,Taxa is not typically confronted with waterlogging and its response is unknown.,NA,plant_tolerance_water_logged_soils_not_applicable
less_than_1_month,plant_tolerance_water_logged_soils,Taxa able to tolerate less than 1 month of waterlogging.,NA,plant_tolerance_water_logged_soils_less_than_1_month
1-6_months,plant_tolerance_water_logged_soils,Taxa able to tolerate 1-6 months of waterlogging.,NA,plant_tolerance_water_logged_soils_1-6_months
greater_than_6_months,plant_tolerance_water_logged_soils,Taxa able to tolerate more than 6 months of waterlogging.,NA,plant_tolerance_water_logged_soils_greater_than_6_months
aquatic,plant_tolerance_water_logged_soils,Taxa truly aquatic and able to be permanently inundated.,NA,plant_tolerance_water_logged_soils_aquatic
herbaceous,woodiness,Plant with non-lignified stems.,NA,woodiness_herbaceous
woody,woodiness,"Plant whose stems are stiff and lignified, including both stems that produce secondary xylem and those that produce only lignified primary tissues but are notably stiff and robust.",NA,woodiness_woody
herbaceous,woodiness_detailed,Plant with non-lignified stems.,NA,woodiness_detailed_herbaceous
woody,woodiness_detailed,Plant whose stems produce secondary xylem (true wood).,NA,woodiness_detailed_woody
woody_base,woodiness_detailed,Plant where secondary xylem (true wood) is present only at the base of stems.,suffrutescent,woodiness_detailed_woody_base
woody_root,woodiness_detailed,Plant that has a woody rootstock but non-woody above-ground stems.,NA,woodiness_detailed_woody_root
semi_woody,woodiness_detailed,"Plant that forms stems considered only ""partially woody"", generally having lower lignin and cellulose contents and possibly not forming secondary xylem. These are generally short-lived, fast-growing stems.","green-stem shrub, soft shrub, soft wood",woodiness_detailed_semi_woody
woody_like_stem,woodiness_detailed,"Taxa, including monocots and ferns, that produce thick, stiff, robust lignified stems but do not produce secondary xylem.",NA,woodiness_detailed_woody_like_stem
woody_like_inflorescence,woodiness_detailed,"Taxa, including monocots, that produce thick, stiff, robust lignified inflorescence shoots but are otherwise non-woody.",NA,woodiness_detailed_woody_like_inflorescence
blue_purple,seed_colour,Seed coat is pink.,NA,seed_colour_blue_purple
green,seed_colour,Seed coat is red.,NA,seed_colour_green
pink,seed_colour,Seed coat is orange.,NA,seed_colour_pink
red_brown,seed_colour,Seed coat is yellow.,NA,seed_colour_red_brown
white_cream,seed_colour,Seed coat is green.,NA,seed_colour_white_cream
yellow_orange,seed_colour,Seed coat is blue.,NA,seed_colour_yellow_orange
grey,seed_colour,Seed coat is purple.,NA,seed_colour_grey
black,seed_colour,Seed coat is white.,NA,seed_colour_black
glabrous,stem_hairs,Adult plant stems do not have hairs (trichomes).,NA,stem_hairs_glabrous
hairy,stem_hairs,Adult plant stems have hairs (trichomes).,NA,stem_hairs_hairy
green,leaf_surface_colour,Leaf lamina surface is green.,NA,leaf_surface_colour_green
grey_green,leaf_surface_colour,Leaf lamina surface is grey-green.,NA,leaf_surface_colour_grey_green
dark_green,leaf_surface_colour,Leaf lamina surface is dark green.,NA,leaf_surface_colour_dark_green
pale_green,leaf_surface_colour,Leaf lamina surface is pale green.,NA,leaf_surface_colour_pale_green
pale_grey_green,leaf_surface_colour,Leaf lamina surface is pale grey-green.,NA,leaf_surface_colour_pale_grey_green
dark_grey_green,leaf_surface_colour,Leaf lamina surface is dark grey-green.,NA,leaf_surface_colour_dark_grey_green
red,leaf_surface_colour,Leaf lamina surface is red.,NA,leaf_surface_colour_red
purple,leaf_surface_colour,Leaf lamina surface is purple.,NA,leaf_surface_colour_purple
dull,leaf_surface_reflectivity,"Leaf surface appears dull, indicating it has a low reflectivity.",NA,leaf_surface_reflectivity_dull
shiny,leaf_surface_reflectivity,"Leaf surface appears shiny or glossy, indicating it has a high reflectivity.","glossy, lustrous, polished",leaf_surface_reflectivity_shiny
glabrous,fruit_surface_hairs,Mature fruit do not have hairs (trichomes).,NA,fruit_surface_hairs_glabrous
hairy,fruit_surface_hairs,Mature fruit have hairs (trichomes).,NA,fruit_surface_hairs_hairy
cord_roots,root_vascular_anatomy,"A root anatomy found within three genera of Mirbelieae (Daviesia, Euchilopsis, Phyllota) wherein networks of interlinking vascular strands exist (Crisp 2003; Pate and Dixon 1996).",NA,root_vascular_anatomy_cord_roots
unistelar_roots,root_vascular_anatomy,"The commonly observed root anatomy, wherein there is a single vascular strand which displays secondary thickening.",NA,root_vascular_anatomy_unistelar_roots
